x,y,z,predicted_x,predicted_y,predicted_z
26.0,25.4,13.0,25.511428571428606,25.4,13.95523809523811
5.0,25.4,46.99999999999999,4.99999999999999,25.4,47.020952380952565
46.99999999999999,25.4,45.0,45.403809523809684,25.4,44.64095238095233
29.000000000000004,25.4,8.0,26.095238095238138,25.4,6.545714285714276
6.0,25.4,4.0,5.999999999999986,25.4,4.0038095238095135
38.0,25.4,5.0,37.979047619047705,25.4,4.989523809523799
39.0,25.4,19.0,38.459047619047766,25.4,19.405714285714332
6.0,25.4,4.0,5.999999999999986,25.4,4.091428571428561
32.0,25.4,61.0,32.51904761904757,25.4,62.12666666666651
30.0,25.4,15.0,30.770476190476245,25.4,14.337142857142885
5.0,25.4,13.0,4.99999999999999,25.4,13.000000000000028
38.0,25.4,5.0,38.00000000000009,25.4,4.99999999999999
11.0,25.4,58.00000000000001,11.000000000000028,25.4,57.999999999999766
5.0,25.4,46.99999999999999,5.078095238095228,25.4,47.00000000000019
5.0,25.4,13.0,5.428571428571418,25.4,13.734285714285727
52.0,25.4,56.0,52.20571428571439,25.4,56.133333333333276
11.0,25.4,37.0,12.97714285714288,25.4,38.155238095238104
5.0,25.4,46.99999999999999,4.99999999999999,25.4,47.05714285714304
10.0,25.4,10.0,10.025714285714272,25.4,9.999999999999982
30.0,25.4,15.0,29.940000000000055,25.4,14.84952380952384
39.0,25.4,19.0,39.03428571428587,25.4,18.992380952380998
39.0,25.4,19.0,39.12095238095253,25.4,18.960000000000043
11.0,25.4,58.00000000000001,11.000000000000028,25.4,57.96857142857119
32.0,25.4,61.0,32.05809523809516,25.4,61.21523809523795
5.0,25.4,46.99999999999999,5.074285714285704,25.4,47.15619047619066
35.0,25.4,58.00000000000001,35.07238095238095,25.4,58.52761904761883
45.0,25.4,17.0,44.96571428571421,25.4,16.999999999999968
46.99999999999999,25.4,45.0,41.64380952380966,25.4,42.67809523809518
5.0,25.4,46.99999999999999,4.99999999999999,25.4,47.031428571428755
14.0,25.4,28.0,12.955238095238082,25.4,29.167619047619045
5.0,25.4,60.0,4.988571428571419,25.4,60.02000000000012
5.0,25.4,13.0,5.0095238095238,25.4,12.988571428571456
6.0,25.4,4.0,7.747619047619034,25.4,6.777142857142847
58.00000000000001,25.4,61.0,57.95428571428548,25.4,60.90666666666652
5.0,25.4,46.99999999999999,4.99999999999999,25.4,47.00000000000019
45.0,25.4,17.0,44.750476190476135,25.4,17.079999999999966
11.0,25.4,37.0,11.017142857142884,25.4,37.00000000000001
10.0,25.4,10.0,9.905714285714266,25.4,9.951428571428552
49.0,25.4,50.0,48.97333333333347,25.4,49.716190476190306
36.0,25.4,13.0,36.00000000000004,25.4,13.000000000000028
21.0,25.4,13.0,21.780952380952332,25.4,13.041904761904785
14.0,25.4,28.0,14.984761904761907,25.4,25.86095238095232
6.0,25.4,4.0,7.380952380952368,25.4,4.449523809523798
49.0,25.4,50.0,47.4590476190477,25.4,48.09619047619036
11.0,25.4,6.0,10.751428571428592,25.4,5.969523809523795
5.0,25.4,46.99999999999999,5.051428571428561,25.4,46.97714285714304
32.0,25.4,61.0,35.59523809523804,25.4,60.95333333333319
58.00000000000001,25.4,61.0,55.867619047618916,25.4,60.39238095238083
10.0,25.4,10.0,9.955238095238075,25.4,9.96952380952379
35.0,25.4,58.00000000000001,34.72857142857142,25.4,58.7199999999998
11.0,25.4,6.0,10.598095238095254,25.4,6.064761904761891
11.0,25.4,6.0,10.823809523809546,25.4,6.2371428571428424
