x,y,z,predicted_x,predicted_y,predicted_z
7.0,25.4,66.0,6.999999999999993,25.4,65.99999999999993
33.0,25.4,66.0,30.515456689493735,25.132571428571435,64.30027670786617
43.0,21.5,60.0,40.8941272476606,21.522285714285804,59.97828699264949
42.0,25.4,7.0,41.91495245985709,25.4,6.994285714285707
32.0,25.4,61.0,32.900158217635834,25.02114285714287,60.7733333333332
7.0,25.4,66.0,7.984866220735792,25.339412523191093,62.27310846555876
33.0,21.5,10.0,33.716629551062965,21.990285714285797,10.59999999999999
18.0,21.5,48.0,18.424894580485155,21.64857142857151,44.27201981903558
33.0,21.5,59.0,27.922704597213176,21.606449856778955,56.965194805194855
14.0,21.5,57.0,13.999999999999984,21.501644028103144,56.96617142857155
21.0,25.4,13.0,22.560952380952354,25.4,13.100952380952407
5.0,25.4,46.99999999999999,5.045714285714276,25.4,47.10819772898236
32.0,25.4,61.0,30.100577759219,24.66828571428573,58.531428571428464
11.0,25.4,6.0,10.813333333333357,25.4,6.312380952380938
6.0,25.4,20.0,6.1209523809523665,25.4,20.118095238095197
55.0,21.5,55.0,54.48285714285724,21.50000000000012,55.49619047619059
5.0,25.4,60.0,4.99999999999999,25.4,60.00000000000013
39.0,25.4,19.0,38.99725505100609,25.258857142857146,19.573333333333366
36.0,25.4,13.0,35.05005425171771,25.235723882363175,13.963410661889384
11.0,25.4,37.0,18.339243194491626,23.58979713166813,40.32588788481889
30.0,25.4,15.0,27.578771929824594,25.33314285714286,15.079047619047648
42.0,21.5,46.99999999999999,41.58316436142194,21.52068271699169,45.27882656677862
10.0,25.4,10.0,10.06380952380951,25.4,9.68761904761903
11.0,25.4,6.0,10.538095238095252,25.4,6.780952380952366
33.0,25.4,66.0,32.50070582403664,25.377714285714287,64.84761904761898
62.0,21.5,65.0,61.27999999999989,21.500000000000117,63.29142857142852
5.0,25.4,13.0,5.015238095238085,25.4,13.085714285714312
55.0,21.5,65.0,54.44666666666679,21.522285714285836,64.71047619047609
26.0,25.4,3.0,25.871492063492123,25.4,3.072380952380945
45.0,25.4,17.0,44.95999999999994,25.4,17.02285714285711
22.0,25.4,5.0,21.497142857142908,25.4,5.134285714285705
26.0,25.4,3.0,25.294349206349263,25.4,3.3695238095238027
45.0,21.5,5.0,43.884098897395106,21.505144759790824,5.2990476190476095
30.0,21.5,55.0,29.882073365231307,21.500000000000092,55.172380952381076
42.0,21.5,46.99999999999999,37.223884014253684,21.517013824884877,43.32268458085073
33.0,21.5,19.0,33.22076638022991,21.64778487394966,27.969841269841265
33.0,21.5,10.0,33.75532059735666,21.549785714285825,10.8990476190476
43.0,21.5,60.0,42.11543467567642,21.594967355495744,61.022857142857234
6.0,25.4,20.0,6.030476190476176,25.4,19.99999999999996
43.0,21.5,55.0,39.60761904761904,21.945714285714363,46.21333333333342
32.0,25.4,61.0,32.615776817181725,25.377714285714287,62.437142857142746
39.0,25.4,19.0,38.956904878905014,25.4,19.276190476190518
6.0,25.4,4.0,5.999999999999986,25.4,3.9999999999999893
37.0,21.5,4.0,36.37884122052029,21.501500000000114,4.1390476190476075
45.0,25.4,17.0,44.80571428571423,25.4,16.605714285714264
38.0,21.5,69.0,38.083447762101116,21.544571428571512,68.83047619047626
33.0,21.5,59.0,32.744684457019176,21.533428571428654,59.4571428571429
45.0,21.5,11.0,44.99999999999994,21.50000000000012,10.99428571428574
42.0,21.5,46.99999999999999,32.720000000000034,21.68942857142865,43.22930389644061
46.99999999999999,25.4,45.0,33.516190476190495,22.39514285714292,40.64416492933992
