x,y,z,predicted_x,predicted_y,predicted_z
18.0,21.5,48.0,20.068556825573868,21.552000000000092,45.41746506550227
37.0,21.5,4.0,36.95224288121386,21.500000000000117,4.039999999999989
45.0,25.4,17.0,44.937142857142796,25.4,17.00380952380949
57.0,21.5,63.0,54.07428571428581,21.633714285714387,64.63904761904753
18.0,21.5,48.0,21.909904761904777,21.626285714285796,49.207832299696406
6.0,25.4,4.0,7.579999999999987,25.37799285714286,4.868571428571418
26.0,25.4,13.0,25.009523809523856,25.102857142857143,15.260952380952371
26.0,25.4,13.0,25.03523809523814,25.4,12.867619047619074
41.0,25.4,7.0,40.63960346688805,25.4,7.041904761904754
42.0,21.5,46.99999999999999,41.29121703748942,21.648757142857225,42.47766143420729
41.0,21.5,40.0,39.96518095238101,21.514857142857235,41.084384268671364
35.0,25.4,58.00000000000001,35.236400499779386,25.232857142857142,58.42952380952359
3.0,21.5,61.0,2.999999999999993,21.500000000000117,61.08857142857128
28.0,25.4,4.0,27.99141295862604,25.4,3.9999999999999893
58.00000000000001,25.4,61.0,57.9885714285712,25.377714285714287,61.00571428571411
35.0,25.4,58.00000000000001,34.496313980258655,25.342664935064935,57.647619047618825
10.0,25.4,10.0,10.143809523809525,25.4,9.119999999999989
50.0,21.5,48.0,49.89679205970358,21.58171428571438,48.05578034863177
42.0,21.5,23.0,41.93697478991585,21.50000000000009,22.97714285714289
19.0,21.5,62.0,18.43714285714288,21.828095238095322,60.23238095238088
14.0,21.5,57.0,13.999999999999984,21.500000000000103,57.000000000000114
30.0,21.5,55.0,33.29833553847073,21.633714285714372,56.493333333333354
50.0,21.5,48.0,49.87174829765047,21.500000000000103,47.74625095718382
55.0,21.5,55.0,55.00000000000014,21.500000000000128,55.00000000000014
32.0,21.5,66.0,32.458711900137835,23.437033673444915,62.17542637751344
14.0,21.5,57.0,13.999999999999984,21.500000000000103,57.000000000000114
26.0,25.4,13.0,25.392380952380996,25.348,13.028571428571453
14.0,25.4,68.0,14.245714285714273,25.35542857142857,67.8638095238094
11.0,25.4,37.0,19.42761904761907,24.486285714285728,28.731785714285696
55.0,21.5,65.0,55.00000000000014,21.50000000000012,64.99999999999989
45.0,21.5,11.0,44.99999999999994,21.500000000000117,10.973333333333358
41.0,21.5,40.0,31.601649659863977,21.92714285714293,37.75449187675067
33.0,21.5,59.0,32.78153680691692,21.502192037470813,59.05728636660149
43.0,21.5,55.0,40.549523809523784,21.529714285714377,53.65714285714297
14.0,21.5,69.0,13.999999999999986,21.500000000000114,69.00000000000006
49.0,25.4,50.0,48.91714285714299,25.370285714285718,49.897938613323376
33.0,21.5,19.0,27.07473590666208,22.274800000000067,32.43809523809524
5.0,25.4,13.0,5.038095238095228,25.4,12.98000000000003
5.0,25.4,46.99999999999999,4.99999999999999,25.4,47.013513423666765
50.0,21.5,48.0,49.87174829765047,21.500000000000103,47.733963399580134
11.0,25.4,37.0,12.105870870087173,25.358375183085784,23.41068991737179
3.0,21.5,61.0,3.1047619047618973,21.500000000000117,61.00380952380936
33.0,21.5,19.0,37.66990717871087,23.365281581323135,44.64610256142336
42.0,21.5,23.0,41.63428571428561,21.500000000000092,20.90476190476194
18.0,21.5,37.0,19.35125000000003,21.674571428571507,37.28495249937499
11.0,25.4,58.00000000000001,11.000000000000027,25.399477678571426,58.01523809523786
45.0,21.5,5.0,44.691965029357696,21.500000000000107,5.047619047619038
43.0,25.4,67.0,43.02285714285712,25.4,66.99047619047609
46.0,21.5,66.0,46.31142857142863,21.51114285714297,65.84666666666658
55.0,21.5,65.0,55.031428571428705,21.500000000000128,64.99333333333323
45.0,25.4,17.0,44.813218503326596,25.37731795790416,16.999999999999968
5.0,25.4,13.0,5.251428571428561,25.4,13.182857142857166
18.0,21.5,37.0,34.128848594649135,21.8903714285715,36.935581031822764
41.0,21.5,40.0,37.37546485185103,21.97542857142863,42.707192094674426
18.0,21.5,48.0,23.246716075533204,21.630000000000084,47.2213556676353
10.0,25.4,10.0,9.848571428571411,25.4,9.338095238095223
43.0,21.5,55.0,42.522857142857134,21.730285714285802,52.88476190476206
55.0,21.5,55.0,54.96571428571443,21.500000000000128,55.040000000000134
39.0,25.4,19.0,38.92892747392208,25.394643305226282,18.98476190476195
43.0,21.5,60.0,40.97772056684694,21.50000000000009,62.29714285714296
18.0,21.5,25.0,19.797142857142877,21.57057142857151,25.233333333333277
55.0,21.5,65.0,55.00000000000014,21.500000000000117,64.99999999999989
32.0,25.4,61.0,32.41310028367045,25.4,62.1295238095237
55.0,21.5,55.0,54.79142857142871,21.500000000000128,55.10285714285727
37.0,21.5,4.0,36.953976428565376,21.500000000000117,3.9999999999999893
30.0,21.5,55.0,30.263443316661313,21.519075630252193,54.854861329147184
30.0,21.5,55.0,33.99108151571922,21.705181782441652,40.15106300967835
62.0,21.5,65.0,61.99999999999985,21.500000000000128,64.99999999999989
43.0,21.5,55.0,41.24638655462181,21.529714285714373,51.60566394203288
45.0,21.5,11.0,44.99999999999994,21.500000000000114,11.000000000000027
10.0,25.4,10.0,8.493333333333323,25.4,10.96190476190475
33.0,25.4,66.0,32.5746408031927,25.4,65.95714285714281
14.0,21.5,57.0,14.10505102040815,21.516095238095343,56.93904994936063
43.0,25.4,67.0,42.97714285714283,25.377714285714287,66.81714285714277
5.0,25.4,13.0,5.188571428571418,25.4,12.81523809523812
42.0,21.5,23.0,41.873994490358015,21.522285714285804,22.686666666666703
18.0,21.5,25.0,24.659446130211165,23.220576633469765,35.51581552373797
5.0,25.4,13.0,6.981904761904752,25.386155844155844,12.121904761904773
62.0,21.5,65.0,61.99999999999985,21.500000000000117,64.99999999999989
38.0,21.5,69.0,39.04899853346957,21.72285714285723,65.47142857142863
45.0,21.5,11.0,44.50075668161182,21.500000000000117,10.488571428571449
18.0,21.5,25.0,20.798095238095254,21.600285714285796,27.332380952380923
7.0,25.4,66.0,6.999999999999993,25.39903105590062,65.99999999999993
35.0,21.5,6.0,34.546823128818126,21.50000000000011,6.408571428571415
26.0,25.4,13.0,25.36095238095243,25.26257142857143,13.232380952380973
11.0,25.4,37.0,18.169768564268793,24.36351821814646,37.98372975944837
43.0,25.4,67.0,43.09714285714283,25.4,66.90285714285704
10.0,25.4,10.0,9.9742857142857,25.4,10.009523809523797
35.0,21.5,6.0,34.88280331305523,21.55350579150589,5.9371428571428435
52.0,25.4,56.0,53.86952380952382,25.387770034843207,57.76952380952379
45.0,21.5,5.0,44.95428571428565,21.500000000000107,5.083809523809514
26.0,25.4,13.0,25.504761904761956,25.307142857142857,13.303809523809546
19.0,21.5,62.0,19.549523809523837,21.574285714285793,59.46285714285703
42.0,25.4,7.0,41.905797907656876,25.4,6.996190476190469
58.00000000000001,25.4,61.0,57.83999999999977,25.377714285714287,60.97142857142839
32.0,21.5,66.0,32.232614197031495,21.581714285714373,65.10095238095231
19.0,21.5,62.0,18.19476190476194,21.507428571428672,61.83169435215939
14.0,21.5,69.0,13.97523809523808,21.500000000000114,68.81238095238102
55.0,21.5,65.0,51.123165183289515,21.7222781093172,62.71132328443532
30.0,21.5,55.0,30.63935291175015,21.559556650246396,54.51466766328027
14.0,21.5,69.0,14.188571428571414,21.50000000000011,68.89142857142862
26.0,25.4,3.0,25.773707798909093,25.3928320802005,3.0990476190476115
